,Suburb,Location,Region,Reported,Updated,Type,Information
11705,Moonee-valley,Ascot Vale Road,Melbourne-metropolitan,"5 Sep, 2017 - 10:52 AM","5 Sep, 2017 - 10:56 AM",Traffic Alert - Emergency Works,"One lane closed northbound near Racecourse Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11706,Moreland,Brunswick Road,Melbourne-metropolitan,"5 Sep, 2017 - 10:49 AM","5 Sep, 2017 - 10:50 AM",Traffic Alert - Emergency Works,"Left lane closed in both directions near Ewing St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3.30pm. "
11707,Melbourne,Power Street,Melbourne-metropolitan,"5 Sep, 2017 - 10:46 AM","5 Sep, 2017 - 10:47 AM",Traffic Alert - Emergency Works,"Left lane closed southbound near Kavanagh St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3.30pm. "
11708,Knox,Wellington Road  (C413),Melbourne-metropolitan,"5 Sep, 2017 - 10:38 AM","5 Sep, 2017 - 10:42 AM",Traffic Alert - Emergency Works,"One lane closed westbound near Taylors Ln for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3.30pm.  "
11709,Maroondah,Oban Road,Melbourne-metropolitan,"5 Sep, 2017 - 10:34 AM","5 Sep, 2017 - 10:35 AM",Traffic Alert - Emergency Works,"Left lane closed westbound near Mullum Mullum Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 2.30pm. "
11710,Hobsons-bay,Maidstone Street,Melbourne-metropolitan,"6 Sep, 2017 - 10:00 AM","6 Sep, 2017 - 10:01 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Ajax Rd for rail works. 

Works are expected to be completed by 4pm. "
11711,South-gippsland,Stewart And Dunlops Road,Gippsland,"6 Sep, 2017 - 9:44 AM","6 Sep, 2017 - 9:50 AM",Road Closed - Flood,Road closed due to flooding. Please seek a local detour. 
11712,Manningham,Blackburn Road,Melbourne-metropolitan,"6 Sep, 2017 - 9:42 AM","6 Sep, 2017 - 9:49 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Beverley St for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11713,Moreland,Melville Road,Melbourne-metropolitan,"6 Sep, 2017 - 9:39 AM","6 Sep, 2017 - 9:41 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Lever St for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11714,Mornington-peninsula,Mornington-Tyabb Road  (C782),Melbourne-metropolitan,"6 Sep, 2017 - 9:34 AM","6 Sep, 2017 - 9:37 AM",Traffic Alert - Emergency Works,"Traffic is being alternated through an open lane near Flood St for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11715,Whitehorse,Elgar Road,Melbourne-metropolitan,"6 Sep, 2017 - 9:31 AM","6 Sep, 2017 - 9:33 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Piedmont St for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm.  "
11716,Wellington,Princes Highway  (A1),Gippsland,"6 Sep, 2017 - 8:47 AM","6 Sep, 2017 - 9:07 AM",Road Closed - Vehicle Collision,"Princes Hwy is closed east of Rosedale, after a collision and subsequent diesel spill. 

Detour is via Maffra-Rosedale Rd - Sale-Toongabbie Rd and Rosedale-Heyfield Rd. "
11717,Stonnington,Monash Freeway  (M1),Melbourne-metropolitan,"6 Sep, 2017 - 8:33 AM","6 Sep, 2017 - 9:10 AM",All Lanes Now Open - Vehicle Collision,0
11718,Melbourne,West Gate Freeway  (M1),Melbourne-metropolitan,"6 Sep, 2017 - 8:18 AM","6 Sep, 2017 - 9:21 AM",All Lanes Now Open - Vehicle Breakdown,0
11719,Banyule,Burke Road N,Melbourne-metropolitan,"6 Sep, 2017 - 7:29 AM","6 Sep, 2017 - 7:31 AM",Traffic Alert - Vehicle Collision,"Delays in both directions near Chareris Dr, due to a collision. 

Emergency services on site. 

Avoid and seek an alternate route. 
"
11720,Kingston,White Street,Melbourne-metropolitan,"6 Sep, 2017 - 10:54 AM","6 Sep, 2017 - 10:56 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Warren St for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm.  "
11721,Bayside,Beach Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:50 AM","6 Sep, 2017 - 10:51 AM",Traffic Alert - Emergency Works,"Left lane closed southbound near Bent Parade for utility works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11722,Maribyrnong,Ballarat Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:47 AM","6 Sep, 2017 - 10:49 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Dawson Ave for gas works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11723,Frankston,Thompsons Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:38 AM","6 Sep, 2017 - 10:40 AM",Traffic Alert - Emergency Works,"Left lane closed westbound near Taylors Rd for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11724,Dandenong,Heatherton Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:33 AM","6 Sep, 2017 - 10:35 AM",Traffic Alert - Emergency Works,"Left lane closed westbound near Gavan Dr for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11725,Melbourne,Power Street,Melbourne-metropolitan,"6 Sep, 2017 - 10:29 AM","6 Sep, 2017 - 10:31 AM",Traffic Alert - Emergency Works,"Left lane closed southbound near Kavanagh St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 4pm. "
11726,Manningham,Bulleen Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:24 AM","6 Sep, 2017 - 10:25 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Ilma Court for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11727,Darebin,Plenty Road,Melbourne-metropolitan,"6 Sep, 2017 - 10:16 AM","6 Sep, 2017 - 10:18 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Browning St for utility works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11728,Moreland,Nicholson Street,Melbourne-metropolitan,"6 Sep, 2017 - 10:09 AM","6 Sep, 2017 - 10:11 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Miller St for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11729,Whitehorse,Station Street,Melbourne-metropolitan,"6 Sep, 2017 - 10:03 AM","6 Sep, 2017 - 10:08 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Dane St for gas works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 2pm. "
11730,Boroondara,Riversdale Road,Melbourne-metropolitan,"6 Sep, 2017 - 3:43 PM","6 Sep, 2017 - 4:40 PM",Road Reopened - Vehicle Collision,0
11731,Whittlesea,Childs Road,Melbourne-metropolitan,"6 Sep, 2017 - 3:21 PM","6 Sep, 2017 - 4:44 PM",All Lanes Now Open - Vehicle Collision,0
11732,Melton,Gourlay Road,Melbourne-metropolitan,"6 Sep, 2017 - 11:49 AM","6 Sep, 2017 - 11:50 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Sugar Gum Drive for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm"
11733,Wyndham,Duncans Road  (C108),Melbourne-metropolitan,"6 Sep, 2017 - 11:45 AM","6 Sep, 2017 - 11:46 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near College Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 2.30pm. "
11734,Pyrenees,Beaufort-Carngham Road,Grampians,"6 Sep, 2017 - 11:38 AM","7 Sep, 2017 - 10:32 AM",Traffic Alert - Road Damage,Weight restriction of 10 tonnes (gross) for the bridge on Beaufort-Carngham Rd. This restriction will be in place until further notice.  
11735,Monash,Monash Freeway  (M1),Melbourne-metropolitan,"6 Sep, 2017 - 11:36 AM","6 Sep, 2017 - 11:43 AM",All Lanes Now Open - Vehicle Collision,0
11736,Hume,Mickleham Road  (C739),Melbourne-metropolitan,"6 Sep, 2017 - 11:10 AM","6 Sep, 2017 - 11:11 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Somerton Rd for gas works. 

Works are expected to be complete by 3.30pm. "
11737,Yarra,Brunton Avenue,Melbourne-metropolitan,"6 Sep, 2017 - 11:05 AM","6 Sep, 2017 - 11:06 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near Punt Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm."
11738,Moonee-valley,Pascoe Vale Road,Melbourne-metropolitan,"6 Sep, 2017 - 11:02 AM","6 Sep, 2017 - 11:03 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Cameron Rd for utility works. 

Works are expected to be complete by 3pm. "
11739,Colac-otway,Princes Highway  (A1),Barwon,"6 Sep, 2017 - 10:58 AM","6 Sep, 2017 - 11:00 AM",Traffic Alert - Emergency Works,"Left lane closed Geelong-bound near Colac for power works. 

Speed limit reduced to 60km/h. 

Works are expected to be complete by 1pm. "
11740,Moreland,Western Ring Road  (M80),Melbourne-metropolitan,"7 Sep, 2017 - 7:27 AM","7 Sep, 2017 - 8:57 AM",All Lanes Now Open - Vehicle Collision,0
11741,Moonee-valley,Tullamarine Freeway  (M2),Melbourne-metropolitan,"7 Sep, 2017 - 6:54 AM","7 Sep, 2017 - 7:33 AM",All Lanes Now Open - Vehicle Collision,0
11742,Geelong,High Street  (C123),Barwon,"7 Sep, 2017 - 6:15 AM","7 Sep, 2017 - 6:19 AM",Road Closed - Emergency Incident,"Geelong - Portarlington road closed due to a petrol station fire.
Emergency Services  on site with local detours in place - till midday."
11743,Kingston,Beach Road,Melbourne-metropolitan,"7 Sep, 2017 - 5:09 AM","7 Sep, 2017 - 5:11 AM",Road Closed - Vehicle Collision,"Collision at Centreway. Road closed in both directions. 

Avoid and seek alt route. Nepean Hwy is one alternative. "
11744,Whitehorse,Burwood Highway,Melbourne-metropolitan,"7 Sep, 2017 - 2:30 AM","7 Sep, 2017 - 5:20 AM",Traffic Alert - Emergency Works,"Burst water main near Blackburn Rd. Left lane closed westbound. 

Works expected to be completed by 3am. "
11745,Hume,Camp Road,Melbourne-metropolitan,"7 Sep, 2017 - 1:35 AM","7 Sep, 2017 - 1:36 AM",Traffic Alert - Emergency Works,"Water works near Paris Rd. Left lane closed westbound. 

Speed limit reduced to 40km/h. 

Works expected to be completed by 3:30pm. "
11746,Melbourne,West Gate Freeway  (M1),Melbourne-metropolitan,"6 Sep, 2017 - 6:33 PM","6 Sep, 2017 - 6:39 PM",All Lanes Now Open - Vehicle Breakdown,0
11747,Hobsons-bay,West Gate Freeway  (M1),Melbourne-metropolitan,"6 Sep, 2017 - 5:49 PM","6 Sep, 2017 - 6:10 PM",All Lanes Now Open - Vehicle Breakdown,0
11748,Colac-otway,Polleys Road,Barwon,"6 Sep, 2017 - 5:20 PM","6 Sep, 2017 - 5:21 PM",Road Closed - Flood,"Road closed due to flooding. 

Please seek an alternate route. "
11749,Moonee-valley,Citylink   (M2),Melbourne-metropolitan,"6 Sep, 2017 - 4:02 PM","6 Sep, 2017 - 4:34 PM",All Lanes Now Open - Vehicle Collision,0
11750,Mornington-peninsula,Mornington-Tyabb Road  (C782),Melbourne-metropolitan,"7 Sep, 2017 - 10:13 AM","7 Sep, 2017 - 10:15 AM",Traffic Alert - Emergency Works,"Traffic is being alternated through one lane near Jones Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11751,Boroondara,Cotham Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:10 AM","7 Sep, 2017 - 10:12 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Burke Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11752,Bayside,Wickham Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:06 AM","7 Sep, 2017 - 10:08 AM",Traffic Alert - Emergency Works,"Left lane closed in both directions near Clyde St for telco works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11753,Manningham,Williamsons Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:03 AM","7 Sep, 2017 - 11:14 AM",Town Roads Reopened - Emergency Works,0
11754,Melbourne,Power Street,Melbourne-metropolitan,"7 Sep, 2017 - 10:00 AM","7 Sep, 2017 - 10:01 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near Kavanagh St for utility works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11755,Alpine,Dargo High Plains Road,Hume,"7 Sep, 2017 - 9:05 AM","10 Nov, 2017 - 3:19 PM",Road Closed - Weather,"Road will remain closed until the end of November to allow for post snow season inspections and maintenance to be completed. 
Â 
With the long snow season coming to a close this month, Alpine Shire Council staff will undertake initial inspections of both roads in the coming weeks with maintenance works scheduled for early November, providing the roads are trafficable. 
Â 

For further details contact Alpine Shire: 03 5755 0555"
11756,Hobsons-bay,Princes Freeway  (M1),Melbourne-metropolitan,"7 Sep, 2017 - 8:28 AM","7 Sep, 2017 - 10:02 AM",All Lanes Now Open - Vehicle Collision,0
11757,Melbourne,West Gate Freeway  (M1),Melbourne-metropolitan,"7 Sep, 2017 - 7:58 AM","7 Sep, 2017 - 8:16 AM",All Lanes Now Open - Vehicle Breakdown,0
11758,Hume,Western Ring Road  (M80),Melbourne-metropolitan,"7 Sep, 2017 - 7:53 AM","7 Sep, 2017 - 8:38 AM",All Lanes Now Open - Vehicle Collision,0
11759,Dandenong,Western Port Highway  (M780),Melbourne-metropolitan,"7 Sep, 2017 - 7:40 AM","7 Sep, 2017 - 9:54 AM",All Lanes Now Open - Vehicle Collision,0
11760,Macedon-ranges,Station Road,Loddon-mallee,"7 Sep, 2017 - 11:10 AM","7 Sep, 2017 - 11:12 AM",Traffic Alert - Emergency Works,"Road closed near Chessy Park Drive for NBN works. 

Works are expected to be complete by 3pm. 

Avoid and seek a local detour. "
11761,Manningham,Manningham Road,Melbourne-metropolitan,"7 Sep, 2017 - 11:04 AM","7 Sep, 2017 - 11:05 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Lincoln Dr for telco works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11762,Boroondara,Tooronga Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:59 AM","7 Sep, 2017 - 11:01 AM",Traffic Alert - Emergency Works,"One lane closed southbound near Hall St for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11763,Wyndham,Point Cook Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:59 AM","7 Sep, 2017 - 1:37 PM",Road Reopened - Police Incident,0
11764,Yarra,Brunton Avenue,Melbourne-metropolitan,"7 Sep, 2017 - 10:56 AM","7 Sep, 2017 - 10:58 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Punt Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11765,Bayside,Beach Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:52 AM","7 Sep, 2017 - 10:54 AM",Traffic Alert - Emergency Works,"Left lane closed southbound near Bayview Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11766,Moreland,Sydney Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:47 AM","7 Sep, 2017 - 10:48 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Argyle St for works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11767,Geelong,Portarlington Road  (C123),Barwon,"7 Sep, 2017 - 10:43 AM","7 Sep, 2017 - 10:44 AM",Traffic Alert - Emergency Works,"Left lane closed westbound near Christies Rd for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 12pm. "
11768,Boroondara,Toorak Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:40 AM","7 Sep, 2017 - 10:41 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near Auburn Rd for utility works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 1pm. "
11769,Boroondara,Cotham Road,Melbourne-metropolitan,"7 Sep, 2017 - 10:16 AM","7 Sep, 2017 - 10:17 AM",Traffic Alert - Emergency Works,"Left lane closed outbound near High St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 12pm. "
11770,Yarra-ranges,Warburton Highway  (B380),Melbourne-metropolitan,"8 Sep, 2017 - 7:37 AM","8 Sep, 2017 - 7:40 AM",Road Closed - Emergency Works,Police have closed the highway due to a serious collision. Emergency services are in attendance.  Avoid the area.  
11771,Port-phillip,St Kilda Road,Melbourne-metropolitan,"8 Sep, 2017 - 7:11 AM","8 Sep, 2017 - 7:52 AM",All Lanes Now Open - Vehicle Collision,0
11772,Port-phillip,Princes Highway East,Melbourne-metropolitan,"8 Sep, 2017 - 6:44 AM","8 Sep, 2017 - 7:22 AM",All Lanes Now Open - Vehicle Collision,0
11773,Dandenong,Chandler Road,Melbourne-metropolitan,"8 Sep, 2017 - 5:02 AM","8 Sep, 2017 - 2:54 AM",lanes closed southbound - Emergency Works,"One lane remains closed southbound between Cheltenham Rd and Parkmore Rd, due to a burst water main."
11774,Boroondara,Church Street,Melbourne-metropolitan,"8 Sep, 2017 - 4:55 AM","8 Sep, 2017 - 4:56 AM",Traffic Alert - Emergency Works,"Left lane closed outbound near Lawes St, due to a burst water main. Allow extra time if travelling through the area. "
11775,Melbourne,Wellington Parade,Melbourne-metropolitan,"8 Sep, 2017 - 12:00 AM",0,Sporting/Social Event - road closed,AFL Finals Games at MCG. Brunton Avenue closed from 6:00 pm and Wellington Parade between Clarendon St and Powlett St closed from 10:00 pm to 10:30 pm. Hoddle St speed reduced to 40 km/h from 10:00 pm to 10:30 pm. Follow detours. Expect traffic delay 6 to 10 min.
11776,Stonnington,Monash Freeway  (M1),Melbourne-metropolitan,"7 Sep, 2017 - 4:48 PM","7 Sep, 2017 - 5:18 PM",All Lanes Now Open - Vehicle Breakdown,0
11777,Stonnington,Monash Freeway  (M1),Melbourne-metropolitan,"7 Sep, 2017 - 2:09 PM","7 Sep, 2017 - 2:39 PM",All Lanes Now Open - Debris,0
11778,Yarra,Victoria Street,Melbourne-metropolitan,"7 Sep, 2017 - 1:36 PM","7 Sep, 2017 - 2:32 PM",All Lanes Now Open - Vehicle Collision,0
11779,Melbourne,West Gate Freeway  (M1),Melbourne-metropolitan,"7 Sep, 2017 - 1:03 PM","7 Sep, 2017 - 1:21 PM",All Lanes Now Open - Vehicle Breakdown,0
11780,Mornington-peninsula,Mornington-Tyabb Road  (C782),Melbourne-metropolitan,"8 Sep, 2017 - 9:28 AM","8 Sep, 2017 - 9:29 AM",Traffic Alert - Emergency Works,"Traffic is being alternated through an open lane near Flood St for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11781,Moonee-valley,Keilor Road,Melbourne-metropolitan,"8 Sep, 2017 - 9:24 AM","8 Sep, 2017 - 9:27 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Service St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11782,Moreland,Nicholson Street,Melbourne-metropolitan,"8 Sep, 2017 - 9:21 AM","8 Sep, 2017 - 9:23 AM",Traffic Alert - Emergency Works,"Left lane closed southbound near Edna Grove for utility works. 

Works are expected to be complete by 3.30pm. "
11783,Knox,Dorset Road,Melbourne-metropolitan,"8 Sep, 2017 - 9:17 AM","8 Sep, 2017 - 9:19 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Currawa Dr for works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11784,Boroondara,Cotham Road,Melbourne-metropolitan,"8 Sep, 2017 - 9:14 AM","8 Sep, 2017 - 9:16 AM",Traffic Alert - Emergency Works,"Left lane closed inbound near Burke Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm. "
11785,Moreland,Nicholson Street,Melbourne-metropolitan,"8 Sep, 2017 - 9:11 AM","8 Sep, 2017 - 9:12 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Miller St for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3pm. "
11786,Whittlesea,Plenty Road  (C727),Melbourne-metropolitan,"8 Sep, 2017 - 9:04 AM","8 Sep, 2017 - 9:07 AM",Traffic Alert - Emergency Works,"Road closed near Hazel Glen Dr for water works. 

Works are expected to be complete by 3.30pm. 

Avoid and seek an alternate route. "
11787,Bayside,Wickham Road,Melbourne-metropolitan,"8 Sep, 2017 - 8:58 AM","8 Sep, 2017 - 8:59 AM",Traffic Alert - Emergency Works,"One lane closed eastbound near Spring Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11788,Dandenong,Greens Road,Melbourne-metropolitan,"8 Sep, 2017 - 8:54 AM","8 Sep, 2017 - 8:55 AM",Traffic Alert - Emergency Works,"Left lane closed westbound near Frankston-Dandenong Rd for water works. 

Speed limit reduced to 40km/h. 

Works are expected to be completed by 3.30pm. "
11789,Moonee-valley,Citylink   (M2),Melbourne-metropolitan,"8 Sep, 2017 - 7:45 AM","8 Sep, 2017 - 8:33 AM",All Lanes Now Open - Vehicle Collision,0
11790,Melbourne,Olympic Boulevard,Melbourne-metropolitan,"9 Sep, 2017 - 12:00 AM","16 Sep, 2017 - 12:00 AM",Sporting/Social Event - expect delays,"Public Event, Hisense Arena - 14 September to 17 September 2017.  40km Speed Zone in place, take care, children in precinct."
11791,Casey,Monash Freeway  (M1),Melbourne-metropolitan,"8 Sep, 2017 - 5:56 PM","8 Sep, 2017 - 6:20 PM",All Lanes Now Open - Vehicle Collision,0
11792,Hume,Western Ring Road  (M80),Melbourne-metropolitan,"8 Sep, 2017 - 5:42 PM","8 Sep, 2017 - 6:00 PM",All Lanes Now Open - Vehicle Collision,0
11793,Moreland,Western Ring Road  (M80),Melbourne-metropolitan,"8 Sep, 2017 - 5:21 PM","8 Sep, 2017 - 5:35 PM",All Lanes Now Open - Vehicle Breakdown,0
11794,Melbourne,West Gate Freeway  (M1),Melbourne-metropolitan,"8 Sep, 2017 - 4:23 PM","8 Sep, 2017 - 4:42 PM",All Lanes Now Open - Vehicle Collision,0
11795,Dandenong,Westall Road,Melbourne-metropolitan,"8 Sep, 2017 - 3:45 PM","8 Sep, 2017 - 5:58 PM",All Lanes Now Open - Emergency Incident,0
11796,Brimbank,Western Ring Road  (M80),Melbourne-metropolitan,"8 Sep, 2017 - 11:09 AM","8 Sep, 2017 - 11:11 AM",lanes closed southbound - Vehicle Breakdown,A bus fire has closed 3 lanes Altona bound.  Emergency services are in attendance. 
11797,Monash,North Road,Melbourne-metropolitan,"8 Sep, 2017 - 11:05 AM","8 Sep, 2017 - 11:06 AM",Traffic Alert - Emergency Works,"Two left lanes closed northbound near Banksia St for power works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 2.30pm. "
11798,Stonnington,Williams Road,Melbourne-metropolitan,"8 Sep, 2017 - 11:01 AM","8 Sep, 2017 - 11:03 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Howitt St for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11799,Darebin,Bell Street,Melbourne-metropolitan,"8 Sep, 2017 - 9:52 AM","8 Sep, 2017 - 9:56 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near Gilbert Rd for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3.30pm. "
11800,Yarra,Yarra Boulevard,Melbourne-metropolitan,"10 Sep, 2017 - 12:00 AM",0,Sporting/Social Event - road closed,Athletics Victoria Burnley Half Marathon event. Yarra Boulevard between Bridge Road CityLink Off ramp closed from 7 am to 12 pm. Expect traffic delay 0 to 5 min.
11801,Boroondara,Warrigal Road,Melbourne-metropolitan,"9 Sep, 2017 - 6:13 PM","10 Sep, 2017 - 6:49 AM",Road Reopened - Emergency Incident,0
11802,Colac-otway,Great Ocean Road  (B100),Barwon,"9 Sep, 2017 - 1:10 PM","11 Sep, 2017 - 5:49 PM",Incident Cleared - Debris,0
11803,Yarra,St Georges Road,Melbourne-metropolitan,"9 Sep, 2017 - 12:50 PM","9 Sep, 2017 - 12:52 PM",lanes closed northbound - Vehicle Collision,St Georges Rd is closed at Best St for north bound traffic due to a collision. Emergency services on site. Please avoid the area and seek alternative route.
11804,Moreland,Bell Street,Melbourne-metropolitan,"9 Sep, 2017 - 9:58 AM","9 Sep, 2017 - 5:25 PM",Incident Cleared - Emergency Works,0
11805,Moonee-valley,Buckley Street,Melbourne-metropolitan,"9 Sep, 2017 - 9:55 AM","9 Sep, 2017 - 9:57 AM",Traffic Alert - Emergency Works,"Left lane closed eastbound near Price St for gas works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 3pm."
11806,Manningham,Springvale Road,Melbourne-metropolitan,"9 Sep, 2017 - 9:44 AM","9 Sep, 2017 - 9:54 AM",Traffic Alert - Emergency Works,"Left lane closed northbound near Eleanor Ct for NBN works. 

Speed limit reduced to 40km/h. 

Works are expected to be complete by 11am. 
"
11807,Hume,Sydney Road,Melbourne-metropolitan,"9 Sep, 2017 - 9:41 AM","9 Sep, 2017 - 3:38 PM",Incident Cleared - Emergency Works,0
11808,Campaspe,Murray Valley Highway  (B400),Loddon-mallee,"9 Sep, 2017 - 8:41 AM","9 Sep, 2017 - 8:43 AM",Road Closed - Vehicle Collision,"The Murray Valley Hwy is closed to all traffic between Henderson Rd and John Allan Rd, due to a vehicle collision near Scobie Rd.

Emergency services are onsite."
11809,Hume,Hume Highway,Melbourne-metropolitan,"9 Sep, 2017 - 4:02 AM","9 Sep, 2017 - 4:04 AM",lanes closed northbound - Vehicle Collision,"The Hume Hwy has the right lane closed northbound at Grasslands Ave due to a vehicle collision.

Delays will occur in the area."
11810,Moreland,Bakers Road,Melbourne-metropolitan,"11 Sep, 2017 - 6:02 AM","11 Sep, 2017 - 6:12 AM",Traffic Alert - Emergency Works,Bakers Rd intersection of Sydney Rd. Boom gates stuck down. Metro authorities on site working on the issue with traffic managemnet in place. Please avoid the area and seek alternative route 
11811,Geelong,Ryrie Street  (C123),Barwon,"11 Sep, 2017 - 3:18 AM","11 Sep, 2017 - 3:19 AM",Traffic Alert - Emergency Works,"Water works near Swanston St. Right lane closed in each direction. 

Speed limit reduced to 40km/h. 

Works expected to be completed by 6pm. "
11812,Whittlesea,Hume Freeway  (M31),Melbourne-metropolitan,"10 Sep, 2017 - 2:59 PM","10 Sep, 2017 - 3:17 PM",Incident Cleared - Vehicle Collision,0
11813,Bayside,Bay Road,Melbourne-metropolitan,"10 Sep, 2017 - 2:57 PM","10 Sep, 2017 - 4:04 PM",Incident Cleared - Vehicle Collision,0
11814,Casey,Princes Highway,Melbourne-metropolitan,"10 Sep, 2017 - 1:34 PM","10 Sep, 2017 - 4:59 PM",All Lanes Now Open - Vehicle Collision,0
11815,Geelong,Shannon Avenue  (C136),Barwon,"10 Sep, 2017 - 5:40 AM","10 Sep, 2017 - 6:39 AM",Incident Cleared - Emergency Works,0
11816,Macedon-ranges,Mollison Street (C326),Loddon-mallee,"10 Sep, 2017 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 09:30 AM to 04:30 PM. Event speed limit nil. Traffic delay 6 to 10 min.
11817,Macedon-ranges,Mollison Street (C793),Loddon-mallee,"10 Sep, 2017 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 09:30 AM to 04:30 PM. Event speed limit nil. Traffic delay 6 to 10 min.
